#lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name
71.12 36.39 118 35 95 292 55 87 1.125 24 200506200232A
73.05 39.83 290 44 128 62 57 59 1.324 23 200506230304A
71.06 36.79 187 72 1 97 89 162 2.675 24 200507010348A
95.09 20.80 241 36 53 105 62 114 3.361 23 200507170104A
70.65 36.40 282 25 60 135 69 103 2.269 24 200507231440A
70.67 36.49 279 23 131 56 73 75 0.958 24 200508161651A
88.09 31.08 89 44 74 290 48 105 2.768 23 200508201250A
87.63 49.97 286 36 79 120 55 98 1.270 23 200508220831A
79.66 39.88 48 56 24 304 71 143 4.429 23 200508242232A
79.35 37.13 89 23 68 293 69 99 1.580 24 200508252108A
71.20 36.30 8 50 41 249 60 132 3.591 23 200508260745A
70.62 36.38 286 30 100 95 61 85 3.809 23 200508270505A
94.71 24.48 271 54 38 156 60 138 3.793 24 200509180725A
82.46 41.97 105 37 111 260 56 75 2.192 23 200509230500A
92.96 34.71 123 38 36 4 69 122 2.033 23 200510072125A
73.47 34.38 334 40 123 114 57 65 2.942 27 200510080350A
73.12 34.70 328 39 107 127 53 77 5.403 25 200510081046A
73.06 34.58 321 31 108 121 60 80 3.729 24 200510081208A
73.34 34.62 96 47 55 321 53 122 4.458 24 200510081225A
73.10 34.68 8 41 118 153 54 68 2.475 24 200510082113A
73.06 34.60 338 33 121 122 62 71 1.440 24 200510082145A
72.86 34.69 279 25 33 159 77 112 3.106 23 200510082204A
73.17 34.93 354 23 116 145 69 79 2.008 23 200510082253A
72.94 34.70 282 28 87 105 62 92 3.687 23 200510090458A
73.01 34.57 315 29 104 119 62 82 1.327 24 200510090709A
73.13 34.65 344 37 121 127 59 69 4.015 24 200510090830A
72.86 34.64 279 21 42 150 76 106 1.907 23 200510090859A
73.26 34.60 151 62 154 254 67 31 2.564 23 200510090922A
73.02 34.55 328 22 130 105 73 75 3.709 23 200510091121A
73.03 34.74 284 38 107 82 54 77 3.024 23 200510091238A
73.58 34.33 286 37 104 89 54 79 1.333 24 200510091920A
72.87 34.62 257 47 63 114 49 116 2.554 23 200510091947A
73.26 34.65 307 43 137 71 62 56 2.910 23 200510101238A
73.08 34.88 315 42 97 126 49 84 0.995 24 200510122023A
73.10 34.69 349 40 122 131 57 66 2.848 23 200510132049A
73.00 34.91 117 33 49 344 66 113 2.028 23 200510141937A
73.08 34.81 314 40 104 116 51 79 2.931 23 200510171043A
73.09 34.72 299 32 103 104 59 82 4.081 23 200510182120A
73.05 34.76 303 31 105 106 60 81 3.255 24 200510190233A
73.14 34.78 308 44 103 110 47 78 1.536 24 200510190316A
72.73 34.98 306 33 56 165 63 110 6.393 23 200510191247A
73.03 34.74 307 32 110 105 60 78 1.863 24 200510231504A
73.11 34.75 293 34 123 75 62 70 1.767 23 200510231928A
73.18 34.76 68 43 54 292 57 118 2.007 23 200510241314A
73.85 34.11 266 32 41 140 70 115 1.695 23 200510260142A
73.15 34.64 357 38 132 129 63 63 7.177 23 200510282134A
89.14 34.01 241 58 -35 351 61 -142 1.812 23 200510291652A
81.28 29.39 8 52 176 100 87 39 1.453 23 200510310551A
84.88 28.38 120 42 97 291 48 84 1.514 23 200510312147A
73.20 34.51 274 14 34 151 82 102 6.061 23 200511060211A
73.12 34.68 345 42 106 144 50 76 2.313 23 200511200535A
73.19 34.67 341 55 159 83 73 37 7.488 23 200511210826A
73.14 34.79 104 41 103 268 50 79 1.597 23 200512011538A
71.06 36.45 279 40 106 80 52 77 0.820 26 200512122147A
78.83 30.12 293 23 86 117 67 92 5.685 23 200512140709A
73.20 34.65 5 10 170 105 88 80 8.470 23 200512250802A
73.15 34.84 12 71 -174 281 84 -19 6.181 23 200512282204A
96.29 24.74 104 72 -1 195 89 -162 4.890 23 200512290720A
87.82 34.47 332 34 -142 210 70 -62 2.583 23 200601180023A
80.31 30.06 156 54 -141 41 59 -43 1.581 23 200602012224A
73.18 34.83 160 42 120 302 54 66 3.131 23 200602022149A
86.70 26.94 279 30 91 98 60 90 1.618 23 200602030157A
72.99 34.75 306 33 84 133 57 94 2.158 23 200602081257A
88.64 27.22 287 27 126 68 68 73 1.117 24 200602140055A
81.47 33.70 210 50 -49 336 55 -128 2.350 23 200602150155A
95.13 31.75 70 36 -13 171 82 -125 2.588 23 200602211510A
91.94 26.91 321 73 -173 229 84 -18 1.878 24 200602232004A
