70.96   35.99   200   31      2   108   89    121    2.150   24   101386A
96.91   25.53    28   45    132   157   58     56    6.960   23   110186A
71.28   36.34   205   36    100    13   55     83    2.200   24   121786A
70.14   39.12   173   55     36    61   61    139    2.760   23   022387A
91.08   38.30   127   36    124   267   60     68    5.750   24   022587F
70.78   36.10   101   17    -52   242   76   -101    2.640   24   040287B
74.67   39.67   113   44     86   299   46     94    3.730   24   043087C
70.55   36.22   300   16     96   114   74     88    2.310   25   050587B
93.94   24.58    67   68    -14   163   77   -158    2.760   25   051887A
75.30   39.64   298   27     91   117   63     90    6.480   23   060887A
71.38   36.53   157    4     84   343   86     90    5.880   23   063087A
83.77   29.30    81   43    -10   178   83   -133    2.680   24   080987C
94.53   23.04   135   42    144   254   67     54    9.760   23   082487B
90.34   29.47   201   45    -90    21   45    -90    3.420   23   092587A
71.97   36.59   253   45    121    32   52     62    1.720   25   100387C
75.50   39.01   248   30     69    92   63    102    9.720   23   010688A
71.01   38.90   275   41    148    30   70     53    5.230   23   010988C
94.87   29.80    37   69    159   135   71     23    8.860   23   012588A
91.66   24.05   239   76      9   147   82    166    6.700   24   020688D
95.57   18.62   114   14   -124   329   78    -82    7.420   23   021988E
73.60   38.23   111   47   -155     4   72    -45    2.200   24   032688C
70.28   35.82   216   51     30   106   67    137    1.240   24   060388A
94.36   22.22   133   18   -104   327   72    -85    4.450   23   070388B
72.83   36.91   137   38    -96   324   53    -86    2.100   24   072088B
70.25   35.74    79   41     52   305   59    118    2.380   24   080388A
94.89   25.19   284   45     55   148   54    120    8.900   26   080688A
70.73   36.17    28   31     52   250   66    110    2.610   25   080688C
74.20   39.82   293   35     83   122   56     95    1.670   24   081288C
95.24   24.94   307   35     69   152   58    104    4.560   23   081388E
86.64   26.52   230   23      2   137   89    113    2.310   26   082088D
95.89   24.94    67   49     28   318   69    136    6.780   23   082188D
97.38   29.95   248   35   -106    88   57    -79    2.350   23   090388B
74.47   39.66   106   23     64   313   69    101    5.380   23   092388B
71.64   37.51   134   75   -179    43   89    -15    1.990   24   092588A
70.46   36.29   295   20     94   111   71     89    8.620   24   092588B
71.45   36.03   214   29    134   346   70     69    1.530   24   092688A
94.67   20.74   168   27    -58   313   68   -105    5.180   23   102388C
70.37   35.76    75   60    156   178   69     32   10.410   23   102688A
85.73   27.39   309   30    109   106   62     79    7.540   23   102988A
91.70   34.17   158   67    171   251   81     24    2.560   25   110588A
99.68   23.00   333   78    174    64   84     12    3.660   26   110688B
99.42   23.38   122   55     40     6   58    137    8.400   23   110788A
99.23   22.80   333   70    180    63   90     20   10.250   23   111588B
91.77   34.29   262   60      7   169   84    150    2.570   24   112588B
99.54   22.15   167   75   -177    76   87    -15    1.490   25   113088A
71.56   39.72     3   51    127   133   52     54   11.870   23   121488A
90.13   29.74   221   77     -9   313   82   -166    1.540   24   020389C
96.83   26.18   295   60     24   193   69    148    9.530   23   021289A
98.30   21.61    73   79      9   341   82    169    5.100   24   030189B
94.81   25.15    71   81     -8   163   82   -171    2.730   24   040389A
89.94   28.74   330   43   -119   187   53    -65    6.420   23   040989A
91.71   24.25   291    6     20   181   88     96    1.700   24   041389B
99.37   29.92   273   29    -73    74   62    -99    5.330   25   041589B
99.41   29.90   245   40   -114    96   54    -71    1.800   25   042589B
99.69   30.00   240   44   -117    95   52    -66    2.230   25   050389A
99.43   29.83   271   45    -90    91   45    -90    5.600   24   050389C
99.65   23.46   335   76    169    68   79     15    3.320   24   050789A
91.65   35.69   248   66      2   157   88    156   10.070   23   051389C
89.88   22.13   354   67    164    90   75     24    5.800   24   061289A
93.94   22.91   111   44    159   217   75     48    2.540   24   071589A
99.54   29.79    59   38   -127   283   60    -64    3.270   24   072189A
71.28   35.78   238   36    124    18   61     68   10.130   24   072489A
94.75   20.22    83   59    145   192   61     36   11.970   23   092489B
99.06   20.32    76   72     -1   167   89   -162    6.170   24   092889A
99.23   20.26    85   78   -168   352   78    -13    5.260   24   093089B
93.89   21.62   196   42    -50   328   59   -120    1.140   24   120289C
93.78   21.54   213   38    -31   328   71   -124    1.660   24   120889A
94.95   24.42   140   32    139   267   69     64    3.050   25   010990D
92.10   37.60    72   45     41   310   63    127    1.110   25   011490A
70.84   36.56   121   48    142   239   63     49    2.850   25   020590A
72.85   37.04   192   36    -46   322   65   -117    1.960   25   030590B
72.84   37.18   195   33    -41   321   69   -116    1.460   24   030690B
73.08   37.20   347   45   -100   182   45    -80    6.420   23   030690C
96.61   25.11    32   73    173   124   84     18    7.680   23   030890C
73.09   39.04   276   56    178     6   89     34    1.280   24   032990C
74.78   39.29   118   68    156   218   68     24   11.760   24   041790A
70.09   35.44   216   36     48    84   64    116   12.170   24   051590A
74.58   38.12   297   65    179    28   89     25    4.650   24   051790C
93.28   32.20    43   44    -44   168   61   -125    7.980   23   060290A
70.61   36.68   283   17     93   100   73     89    3.800   25   071390C
70.45   36.38   298   12    103   104   78     87    9.160   23   090390B
70.74   35.19   260   34    113    53   59     75    6.580   24   102590B
71.01   39.15   215   33     67    61   60    104    1.480   24   110390D
71.17   35.92   223   23    103    29   68     85    6.090   23   111290A
70.48   38.03     1   83     -2    91   88   -173    2.910   24   122090A
96.18   23.61     2   68    166    97   77     23    3.110   26   010591A
70.23   36.01   247   17     68    90   74     97    2.200   26   013191B
70.48   35.90     8   12     30   249   84    101    1.940   24   022391B
70.43   35.86   265   21     38   139   77    107    8.120   23   032391A
95.53   15.89    13   87   -180   283   90     -3   10.480   24   040191B
71.54   36.12    39   44     33   284   68    129    1.260   24   041591A
71.18   36.03   300   32    138    68   69     65    7.700   23   041691B
70.35   38.87   193   43     46    66   60    123    7.880   23   042691C
93.25   23.42   159   77    171   251   81     13    1.430   24   051191A
70.74   36.12   287   42    118    72   54     68    1.090   26   071491A
72.08   37.46    45    2     93   222   88     90    9.510   23   082091B
78.24   30.22   317   14    115   112   78     84    1.770   26   101991G
70.70   26.47    56   43     46   289   61    123    1.370   24   110891C
93.83   24.19   245   68     11   151   79    157    2.000   24   120491B
93.08   24.47   258   54     30   150   66    140   11.950   23   122091C
