#YEAR MO DY  HR MN SECONDS      LATITUDE  LONGITUDE    DEPTH
2002 01 02  13 59  2.809423    27.476875 88.532666    24.000000
2002 01 02  16 49 42.643049    27.823375 87.969232    78.500000
2002 01 03  08 05 53.814008    28.226125 87.880254    87.000000
2002 01 03  12 24  0.239770    28.570375 87.579870    17.750000
2002 01 03  19 02 16.869674    27.557875 86.732222    0.000000
2002 01 03  20 12 34.954783    27.382375 88.748842    32.000000
2002 01 04  00 44 46.929556    27.733375 88.072240    66.000000
2002 01 04  18 40 15.455721    26.840125 86.344918    45.500000
2002 01 04  23 50 24.515960    26.862625 89.073864    27.500000
2002 01 05  06 10 42.978001    28.124875 87.697810    75.500000
2002 01 05  16 42  4.142941    27.364375 87.854153    17.500000
2002 01 05  21 31 41.746410    27.836875 86.330795    1.250000
2002 01 06  12 32 42.500435    28.820125 86.437082    -6.000000
2002 01 06  13 05  0.059110    27.798625 87.892591    69.000000
2002 01 07  03 49 35.292628    28.127125 85.615975    38.000000
2002 01 07  15 12 39.412531    27.461125 86.356732    0.000000
2002 01 07  16 21 50.822934    27.607375 86.640920    14.000000
2002 01 07  18 05 26.362888    27.033625 86.630088    32.000000
2002 01 07  20 43  0.236202    27.326125 86.569647    34.750000
2002 01 08  03 33 16.092468    26.918875 86.857063    27.250000
2002 01 08  06 04 36.604645    28.498375 87.266786    24.000000
2002 01 08  14 59  1.502331    28.151875 87.172423    18.000000
2002 01 08  19 41 26.589312    27.614125 86.648546    11.750000
2002 01 09  19 43 35.213843    27.744625 86.391953    5.500000
2002 01 09  20 27 13.508813    28.480375 87.353688    15.000000
2002 01 09  20 28 26.923152    27.650125 86.320924    19.000000
2002 01 09  21 25 34.304288    27.843625 86.989835    0.000000
2002 01 09  21 47 38.271890    28.070875 87.681907    78.750000
2002 01 10  01 07 49.124781    28.336375 87.332078    3.500000
2002 01 10  03 12 59.371939    28.525375 87.346369    19.500000
2002 01 10  07 53 13.039282    28.498375 87.312870    18.250000
2002 01 10  13 55 19.130629    27.287875 88.362100    38.500000
2002 01 11  08 21 28.422495    27.845875 87.394445    -6.000000
2002 01 11  11 58 49.241411    28.543375 87.285042    24.250000
2002 01 11  13 33  8.543827    28.032625 87.836979    61.000000
2002 01 12  02 48 19.781957    28.552375 86.083751    15.000000
2002 01 13  14 32  9.292453    28.392625 86.777506    67.750000
2002 01 13  15 04 12.086386    27.726625 87.861168    83.000000
2002 01 13  20 03 46.781352    28.079875 86.922054    21.000000
2002 01 14  10 07 42.706661    27.598375 86.686608    17.500000
2002 01 15  10 36 23.397084    27.929125 87.957934    72.000000
2002 01 15  16 09 41.271226    28.147375 87.726131    -6.000000
2002 01 15  17 27  2.319134    28.133875 87.394287    -6.000000
2002 01 15  21 51 36.015078    27.186625 87.935460    -6.000000
2002 01 16  01 29 20.021243    28.073125 87.633482    0.000000
2002 01 16  02 30 39.151548    28.100125 87.615912    0.000000
2002 01 16  09 08 54.838396    28.419625 87.514371    24.000000
2002 01 17  15 21 48.976456    28.376875 86.255780    73.500000
2002 01 17  18 51 47.951001    26.819875 86.667660    52.250000
2002 01 17  19 31  7.006588    28.475875 86.910828    66.750000
2002 01 17  21 16 45.047253    26.873875 89.129613    23.000000
2002 01 17  22 07  3.418779    27.960625 87.950717    81.500000
2002 01 18  06 44 50.973406    29.213875 87.065849    -3.000000
2002 01 18  17 57 26.718070    26.934625 86.417978    37.250000
2002 01 18  18 48 58.091425    27.422875 88.861199    27.500000
2002 01 19  13 32 53.866238    27.996625 85.973796    -6.000000
2002 01 19  13 50  8.712781    27.947125 85.757540    19.000000
2002 01 19  22 28 16.194683    28.399375 87.450232    75.250000
2002 01 20  18 24 34.939381    27.866125 88.081797    71.250000
2002 01 20  18 57  1.311069    28.106875 87.661897    0.000000
2002 01 21  03 47 20.110931    27.355375 86.746996    2.250000
2002 01 21  23 16 13.559868    27.314875 88.182755    18.000000
2002 01 22  00 25 47.965241    29.222875 87.068477    -6.000000
2002 01 22  01 58  5.026996    27.044875 88.961824    30.000000
2002 01 22  06 13  1.503655    29.481625 85.356279    -3.000000
2002 01 22  21 28 20.573106    27.974125 88.162355    90.000000
2002 01 23  08 43 45.059173    27.861625 86.035534    6.250000
2002 01 23  13 39 58.922442    27.906625 86.032794    -6.000000
2002 01 23  14 33  1.886512    26.891875 85.981562    -4.750000
2002 01 23  18 12 38.664554    28.649125 87.101233    12.250000
2002 01 23  18 15  3.681856    28.635625 87.096028    8.000000
2002 01 24  05 29 50.270669    27.859375 87.789027    78.250000
2002 01 24  21 01 55.215382    27.440875 86.719299    7.750000
2002 01 25  00 12 15.531313    27.623125 87.143752    0.000000
2002 01 25  20 32 55.399878    27.566875 86.630715    13.000000
2002 01 25  21 48 20.613187    27.564625 86.628174    11.000000
2002 01 26  02 16 43.776494    28.469125 86.485923    -6.000000
2002 01 27  14 06 32.040137    30.010375 87.805670    -6.000000
2002 01 27  22 58 36.444945    27.508375 88.759023    18.000000
2002 01 28  00 37 58.215965    27.890875 87.850499    74.750000
2002 01 28  04 09 29.834661    27.915625 86.287385    0.000000
2002 01 28  17 24 36.351851    28.626625 87.677856    25.000000
2002 01 28  20 53 29.540492    28.833625 87.133116    12.750000
2002 01 29  03 54 59.358394    27.859375 86.038088    3.000000
2002 01 29  20 08  4.972192    27.805375 87.035449    3.000000
2002 01 30  10 45 58.706140    28.016875 84.304311    29.750000
2002 01 31  01 56  2.308452    27.582625 86.359112    12.500000
2002 01 31  02 11  0.070625    29.942875 87.856715    3.750000
2002 01 31  04 43 30.292098    27.980875 86.249039    33.250000
2002 01 31  14 52 47.436280    27.740125 88.090132    70.000000
2002 02 01  02 10 36.770691    28.646875 86.473080    69.000000
2002 02 01  14 59 19.841461    27.773875 86.051166    10.000000
2002 02 01  15 05 23.846141    28.392625 86.933524    71.750000
2002 02 01  16 29 41.770125    27.276625 85.313996    39.000000
2002 02 03  07 41 57.593843    27.785125 86.389370    25.500000
2002 02 03  10 04 11.991503    27.798625 86.381725    9.000000
2002 02 03  10 50 43.563538    29.834875 87.966778    -6.000000
2002 02 03  11 03 30.745812    27.773875 86.386838    16.250000
2002 02 03  22 41 36.219696    27.591625 88.425624    17.500000
2002 02 04  00 43 42.623134    27.339625 86.584853    23.500000
2002 02 04  06 43  3.025415    27.737875 87.828261    64.500000
2002 02 04  08 59  5.662047    27.434125 88.448220    45.750000
2002 02 04  14 12  9.852316    28.653625 85.221845    -6.000000
2002 02 04  19 57 19.700327    27.719875 86.422478    10.250000
2002 02 04  21 27 56.349782    27.762625 86.402106    16.500000
2002 02 05  03 14 10.661675    27.391375 88.548830    0.000000
2002 02 05  08 14 26.522659    27.443125 88.273443    0.000000
2002 02 05  20 18 40.956646    29.348875 87.977798    -0.750000
2002 02 06  00 02 55.746849    27.735625 86.224185    3.000000
2002 02 06  15 18 57.642964    27.227125 87.976468    -6.000000
2002 02 06  20 19 48.862615    27.881875 86.979826    -6.000000
2002 02 06  20 53 51.910692    27.272125 88.252987    -6.000000
2002 02 06  21 53 51.806970    28.946125 86.796974    -3.000000
2002 02 07  01 01 31.115422    27.029125 86.612402    35.250000
2002 02 07  05 18 12.854819    28.122625 86.855891    54.250000
2002 02 07  17 38  9.152490    27.737875 86.117410    2.750000
2002 02 08  03 35 10.051769    28.347625 87.214563    15.000000
2002 02 08  18 36 36.926296    27.724375 86.269966    17.250000
2002 02 09  06 42 40.352958    28.489375 85.612959    0.000000
2002 02 09  15 48 55.828383    27.571375 86.668794    16.750000
2002 02 09  16 02 55.473105    27.206875 88.937563    28.250000
2002 02 09  21 10 27.635891    29.978875 87.922144    -6.000000
2002 02 09  22 08 56.627436    27.886375 87.084216    18.000000
2002 02 09  22 36 15.512325    27.544375 86.422602    8.250000
2002 02 10  03 34 11.007484    27.861625 87.061177    0.000000
2002 02 10  07 57 57.716875    26.878375 86.168290    51.500000
2002 02 10  15 29 31.857188    26.864875 86.652594    55.500000
2002 02 10  19 20  1.508814    27.753625 87.503014    3.000000
2002 02 11  00 56 22.350006    27.197875 87.965961    15.000000
